date,service,cost
2024-03-02,Compute Engine,2.24
2024-03-03,Compute Engine,1.77
2024-03-04,Compute Engine,2.07
2024-03-05,Compute Engine,1.75
2024-03-06,Compute Engine,1.08
2024-03-07,Compute Engine,2.17
2024-03-08,Compute Engine,2.3
2024-03-09,Compute Engine,2.02
2024-03-10,Compute Engine,1.21
2024-03-11,Compute Engine,1.31
2024-03-12,Compute Engine,1.13
2024-03-13,Compute Engine,2.04
2024-03-14,Compute Engine,2.28
2024-03-15,Compute Engine,1.88
2024-03-16,Compute Engine,2.13
2024-03-17,Compute Engine,1.26
2024-03-18,Compute Engine,1.75
2024-03-19,Compute Engine,1.02
2024-03-20,Compute Engine,1.31
2024-03-21,Compute Engine,2.11
2024-03-22,Compute Engine,1.57
2024-03-23,Compute Engine,2.27
2024-03-24,Compute Engine,1.95
2024-03-25,Compute Engine,3.0
2024-03-26,Compute Engine,1.74
2024-03-27,Compute Engine,1.02
2024-03-28,Compute Engine,1.68
2024-03-29,Compute Engine,1.23
2024-03-30,Compute Engine,2.17
2024-03-31,Compute Engine,1.72
2024-04-01,Compute Engine,1.63
2024-04-02,Compute Engine,1.64
2024-04-03,Compute Engine,2.06
2024-04-04,Compute Engine,1.49
2024-04-05,Compute Engine,2.08
2024-04-06,Compute Engine,2.21
2024-04-07,Compute Engine,1.54
2024-04-08,Compute Engine,1.27
2024-04-09,Compute Engine,1.47
2024-04-10,Compute Engine,2.05
2024-04-11,Compute Engine,1.76
2024-04-12,Compute Engine,2.02
2024-04-13,Compute Engine,2.56
2024-04-14,Compute Engine,1.83
2024-04-15,Compute Engine,1.33
2024-04-16,Compute Engine,2.23
2024-04-17,Compute Engine,1.75
2024-04-18,Compute Engine,2.14
2024-04-19,Compute Engine,2.24
2024-04-20,Compute Engine,1.27
2024-04-21,Compute Engine,2.39
2024-04-22,Compute Engine,2.17
2024-04-23,Compute Engine,1.44
2024-04-24,Compute Engine,1.88
2024-04-25,Compute Engine,1.86
2024-04-26,Compute Engine,1.75
2024-04-27,Compute Engine,2.16
2024-04-28,Compute Engine,2.43
2024-04-29,Compute Engine,1.74
2024-04-30,Compute Engine,2.38
2024-05-01,Compute Engine,2.22
2024-05-02,Compute Engine,1.86
2024-05-03,Compute Engine,1.83
2024-05-04,Compute Engine,1.19
2024-05-05,Compute Engine,1.03
2024-05-06,Compute Engine,1.83
2024-05-07,Compute Engine,1.34
2024-05-08,Compute Engine,1.73
2024-05-09,Compute Engine,1.5
2024-05-10,Compute Engine,0.9
2024-05-11,Compute Engine,1.93
2024-05-12,Compute Engine,1.56
2024-05-13,Compute Engine,1.8
2024-05-14,Compute Engine,1.33
2024-05-15,Compute Engine,1.6
2024-05-16,Compute Engine,2.51
2024-05-17,Compute Engine,1.83
2024-05-18,Compute Engine,2.03
2024-05-19,Compute Engine,1.16
2024-05-20,Compute Engine,2.92
2024-05-21,Compute Engine,2.66
2024-05-22,Compute Engine,2.43
2024-05-23,Compute Engine,2.17
2024-05-24,Compute Engine,1.78
2024-05-25,Compute Engine,1.99
2024-05-26,Compute Engine,2.28
2024-05-27,Compute Engine,1.48
2024-05-28,Compute Engine,1.57
2024-05-29,Compute Engine,0.98
2024-05-30,Compute Engine,1.41
2024-05-31,Compute Engine,2.58
2024-06-01,Compute Engine,1.63
2024-06-02,Compute Engine,1.64
2024-06-03,Compute Engine,1.94
2024-06-04,Compute Engine,1.02
2024-06-05,Compute Engine,2.25
2024-06-06,Compute Engine,2.4
2024-06-07,Compute Engine,1.98
2024-06-08,Compute Engine,2.59
2024-06-09,Compute Engine,1.16
2024-06-10,Compute Engine,2.69
2024-06-11,Compute Engine,1.45
2024-06-12,Compute Engine,1.19
2024-06-13,Compute Engine,1.69
2024-06-14,Compute Engine,2.71
2024-06-15,Compute Engine,1.8
2024-06-16,Compute Engine,1.36
2024-06-17,Compute Engine,1.19
2024-06-18,Compute Engine,1.76
2024-06-19,Compute Engine,0.86
2024-06-20,Compute Engine,1.19
2024-06-21,Compute Engine,2.56
2024-06-22,Compute Engine,2.45
2024-06-23,Compute Engine,1.76
2024-06-24,Compute Engine,1.6
2024-06-25,Compute Engine,1.85
2024-06-26,Compute Engine,2.95
2024-06-27,Compute Engine,2.02
2024-06-28,Compute Engine,2.26
2024-06-29,Compute Engine,1.73
2024-06-30,Compute Engine,1.86
2024-07-01,Compute Engine,2.14
2024-07-02,Compute Engine,1.89
2024-07-03,Compute Engine,0.92
2024-07-04,Compute Engine,2.45
2024-07-05,Compute Engine,1.54
2024-07-06,Compute Engine,2.85
2024-07-07,Compute Engine,2.17
2024-07-08,Compute Engine,1.88
2024-07-09,Compute Engine,2.05
2024-07-10,Compute Engine,1.79
2024-07-11,Compute Engine,1.61
2024-07-12,Compute Engine,1.95
2024-07-13,Compute Engine,2.27
2024-07-14,Compute Engine,1.63
2024-07-15,Compute Engine,1.55
2024-07-16,Compute Engine,1.68
2024-07-17,Compute Engine,2.31
2024-07-18,Compute Engine,2.55
2024-07-19,Compute Engine,2.03
2024-07-20,Compute Engine,2.14
2024-07-21,Compute Engine,1.56
2024-07-22,Compute Engine,2.28
2024-07-23,Compute Engine,2.13
2024-07-24,Compute Engine,1.52
2024-07-25,Compute Engine,1.01
2024-07-26,Compute Engine,1.28
2024-07-27,Compute Engine,1.55
2024-07-28,Compute Engine,2.43
2024-07-29,Compute Engine,2.62
2024-07-30,Compute Engine,1.66
2024-07-31,Compute Engine,1.68
2024-08-01,Compute Engine,2.0
2024-08-02,Compute Engine,1.88
2024-08-03,Compute Engine,2.33
2024-08-04,Compute Engine,1.63
2024-08-05,Compute Engine,2.34
2024-08-06,Compute Engine,1.77
2024-08-07,Compute Engine,2.3
2024-08-08,Compute Engine,1.76
2024-08-09,Compute Engine,1.59
2024-08-10,Compute Engine,2.81
2024-08-11,Compute Engine,2.4
2024-08-12,Compute Engine,1.03
2024-08-13,Compute Engine,1.68
2024-08-14,Compute Engine,2.47
2024-08-15,Compute Engine,1.32
2024-08-16,Compute Engine,2.27
2024-08-17,Compute Engine,2.22
2024-08-18,Compute Engine,1.57
2024-08-19,Compute Engine,1.9
2024-08-20,Compute Engine,0.9
2024-08-21,Compute Engine,2.76
2024-08-22,Compute Engine,1.76
2024-08-23,Compute Engine,2.29
2024-08-24,Compute Engine,2.2
2024-08-25,Compute Engine,2.56
2024-08-26,Compute Engine,1.7
2024-08-27,Compute Engine,2.01
2024-08-28,Compute Engine,2.18
2024-08-29,Compute Engine,2.34
2024-08-30,Compute Engine,2.47
2024-08-31,Compute Engine,1.69
2024-09-01,Compute Engine,1.6
2024-09-02,Compute Engine,2.58
2024-09-03,Compute Engine,0.95
2024-09-04,Compute Engine,2.68
2024-09-05,Compute Engine,1.78
2024-09-06,Compute Engine,1.93
2024-09-07,Compute Engine,1.6
2024-09-08,Compute Engine,1.91
2024-09-09,Compute Engine,2.54
2024-09-10,Compute Engine,2.3
2024-09-11,Compute Engine,2.17
2024-09-12,Compute Engine,1.98
2024-09-13,Compute Engine,1.24
2024-09-14,Compute Engine,1.53
2024-09-15,Compute Engine,1.78
2024-09-16,Compute Engine,2.16
2024-09-17,Compute Engine,1.98
2024-09-18,Compute Engine,2.42
2024-09-19,Compute Engine,2.17
2024-09-20,Compute Engine,1.97
2024-09-21,Compute Engine,3.04
2024-09-22,Compute Engine,2.15
2024-09-23,Compute Engine,1.75
2024-09-24,Compute Engine,2.85
2024-09-25,Compute Engine,2.53
2024-09-26,Compute Engine,2.83
2024-09-27,Compute Engine,1.91
2024-09-28,Compute Engine,2.43
2024-09-29,Compute Engine,1.26
2024-09-30,Compute Engine,2.34
2024-10-01,Compute Engine,1.89
2024-10-02,Compute Engine,1.32
2024-10-03,Compute Engine,2.46
2024-10-04,Compute Engine,1.1
2024-10-05,Compute Engine,1.05
2024-10-06,Compute Engine,2.15
2024-10-07,Compute Engine,2.25
2024-10-08,Compute Engine,2.44
2024-10-09,Compute Engine,2.33
2024-10-10,Compute Engine,2.69
2024-10-11,Compute Engine,2.32
2024-10-12,Compute Engine,1.92
2024-10-13,Compute Engine,1.95
2024-10-14,Compute Engine,1.85
2024-10-15,Compute Engine,2.13
2024-10-16,Compute Engine,1.46
2024-10-17,Compute Engine,2.15
2024-10-18,Compute Engine,1.95
2024-10-19,Compute Engine,2.12
2024-10-20,Compute Engine,2.13
2024-10-21,Compute Engine,0.82
2024-10-22,Compute Engine,1.56
2024-10-23,Compute Engine,1.94
2024-10-24,Compute Engine,1.97
2024-10-25,Compute Engine,2.12
2024-10-26,Compute Engine,2.15
2024-10-27,Compute Engine,2.73
2024-10-28,Compute Engine,2.15
2024-10-29,Compute Engine,1.85
2024-10-30,Compute Engine,1.24
2024-10-31,Compute Engine,1.35
2024-11-01,Compute Engine,2.27
2024-11-02,Compute Engine,2.52
2024-11-03,Compute Engine,2.75
2024-11-04,Compute Engine,1.62
2024-11-05,Compute Engine,1.87
2024-11-06,Compute Engine,2.13
2024-11-07,Compute Engine,3.0
2024-11-08,Compute Engine,2.07
2024-11-09,Compute Engine,2.77
2024-11-10,Compute Engine,2.1
2024-11-11,Compute Engine,2.58
2024-11-12,Compute Engine,2.52
2024-11-13,Compute Engine,2.11
2024-11-14,Compute Engine,1.54
2024-11-15,Compute Engine,1.9
2024-11-16,Compute Engine,2.75
2024-11-17,Compute Engine,2.45
2024-11-18,Compute Engine,1.83
2024-11-19,Compute Engine,1.87
2024-11-20,Compute Engine,1.21
2024-11-21,Compute Engine,2.73
2024-11-22,Compute Engine,2.47
2024-11-23,Compute Engine,1.98
2024-11-24,Compute Engine,2.14
2024-11-25,Compute Engine,1.0
2024-11-26,Compute Engine,1.81
2024-11-27,Compute Engine,2.69
2024-11-28,Compute Engine,2.52
2024-11-29,Compute Engine,2.21
2024-11-30,Compute Engine,2.04
2024-12-01,Compute Engine,2.43
2024-12-02,Compute Engine,1.92
2024-12-03,Compute Engine,1.26
2024-12-04,Compute Engine,2.05
2024-12-05,Compute Engine,2.25
2024-12-06,Compute Engine,2.6
2024-12-07,Compute Engine,1.37
2024-12-08,Compute Engine,2.0
2024-12-09,Compute Engine,2.03
2024-12-10,Compute Engine,1.54
2024-12-11,Compute Engine,2.3
2024-12-12,Compute Engine,2.43
2024-12-13,Compute Engine,1.93
2024-12-14,Compute Engine,3.06
2024-12-15,Compute Engine,1.92
2024-12-16,Compute Engine,1.86
2024-12-17,Compute Engine,1.85
2024-12-18,Compute Engine,1.69
2024-12-19,Compute Engine,1.81
2024-12-20,Compute Engine,1.39
2024-12-21,Compute Engine,1.99
2024-12-22,Compute Engine,2.11
2024-12-23,Compute Engine,0.99
2024-12-24,Compute Engine,2.04
2024-12-25,Compute Engine,2.11
2024-12-26,Compute Engine,2.34
2024-12-27,Compute Engine,2.67
2024-12-28,Compute Engine,2.5
2024-12-29,Compute Engine,1.79
2024-12-30,Compute Engine,1.74
2024-12-31,Compute Engine,2.37
2025-01-01,Compute Engine,1.83
2025-01-02,Compute Engine,1.51
2025-01-03,Compute Engine,3.24
2025-01-04,Compute Engine,1.95
2025-01-05,Compute Engine,1.8
2025-01-06,Compute Engine,1.05
2025-01-07,Compute Engine,2.51
2025-01-08,Compute Engine,1.63
2025-01-09,Compute Engine,2.12
2025-01-10,Compute Engine,2.58
2025-01-11,Compute Engine,1.64
2025-01-12,Compute Engine,2.15
2025-01-13,Compute Engine,2.85
2025-01-14,Compute Engine,0.94
2025-01-15,Compute Engine,1.73
2025-01-16,Compute Engine,1.68
2025-01-17,Compute Engine,2.03
2025-01-18,Compute Engine,2.1
2025-01-19,Compute Engine,1.61
2025-01-20,Compute Engine,1.81
2025-01-21,Compute Engine,1.75
2025-01-22,Compute Engine,1.96
2025-01-23,Compute Engine,2.23
2025-01-24,Compute Engine,2.57
2025-01-25,Compute Engine,2.64
2025-01-26,Compute Engine,2.45
2025-01-27,Compute Engine,1.71
2025-01-28,Compute Engine,2.13
2025-01-29,Compute Engine,3.28
2025-01-30,Compute Engine,2.63
2025-01-31,Compute Engine,1.93
2025-02-01,Compute Engine,2.9
2025-02-02,Compute Engine,1.96
2025-02-03,Compute Engine,1.82
2025-02-04,Compute Engine,2.82
2025-02-05,Compute Engine,1.52
2025-02-06,Compute Engine,1.23
2025-02-07,Compute Engine,2.6
2025-02-08,Compute Engine,2.17
2025-02-09,Compute Engine,2.21
2025-02-10,Compute Engine,1.98
2025-02-11,Compute Engine,2.04
2025-02-12,Compute Engine,1.94
2025-02-13,Compute Engine,1.86
2025-02-14,Compute Engine,1.98
2025-02-15,Compute Engine,1.96
2025-02-16,Compute Engine,1.77
2025-02-17,Compute Engine,1.9
2025-02-18,Compute Engine,0.96
2025-02-19,Compute Engine,2.5
2025-02-20,Compute Engine,2.36
2025-02-21,Compute Engine,2.13
2025-02-22,Compute Engine,2.29
2025-02-23,Compute Engine,2.31
2025-02-24,Compute Engine,1.83
2025-02-25,Compute Engine,1.92
2025-02-26,Compute Engine,2.43
2025-02-27,Compute Engine,2.28
2025-02-28,Compute Engine,3.16
2025-03-01,Compute Engine,2.96
2025-03-02,Compute Engine,2.63
2025-03-03,Compute Engine,1.82
2025-03-04,Compute Engine,1.92
2025-03-05,Compute Engine,1.71
2025-03-06,Compute Engine,2.32
2025-03-07,Compute Engine,0.87
2025-03-08,Compute Engine,1.97
2025-03-09,Compute Engine,2.05
2025-03-10,Compute Engine,1.46
2025-03-11,Compute Engine,2.58
2025-03-12,Compute Engine,1.65
2025-03-13,Compute Engine,2.33
2025-03-14,Compute Engine,3.54
2025-03-15,Compute Engine,1.43
2025-03-16,Compute Engine,2.13
2025-03-17,Compute Engine,2.01
2025-03-18,Compute Engine,1.92
2025-03-19,Compute Engine,2.57
2025-03-20,Compute Engine,2.74
2025-03-21,Compute Engine,2.58
2025-03-22,Compute Engine,1.87
2025-03-23,Compute Engine,3.38
2025-03-24,Compute Engine,1.37
2025-03-25,Compute Engine,1.72
2025-03-26,Compute Engine,2.3
2025-03-27,Compute Engine,2.26
2025-03-28,Compute Engine,2.46
2025-03-29,Compute Engine,2.98
2025-03-30,Compute Engine,2.17
2025-03-31,Compute Engine,2.28
2025-04-01,Compute Engine,1.94
2025-04-02,Compute Engine,2.51
2025-04-03,Compute Engine,2.08
2025-04-04,Compute Engine,2.08
2025-04-05,Compute Engine,2.49
2025-04-06,Compute Engine,2.73
2025-04-07,Compute Engine,1.18
2025-04-08,Compute Engine,2.41
2025-04-09,Compute Engine,2.11
2025-04-10,Compute Engine,2.7
2025-04-11,Compute Engine,2.12
2025-04-12,Compute Engine,2.87
2025-04-13,Compute Engine,1.92
2025-04-14,Compute Engine,1.17
2025-04-15,Compute Engine,2.75
2025-04-16,Compute Engine,1.84
2025-04-17,Compute Engine,1.49
2025-04-18,Compute Engine,2.26
2025-04-19,Compute Engine,2.14
2025-04-20,Compute Engine,2.65
2025-04-21,Compute Engine,2.68
2025-04-22,Compute Engine,2.3
2025-04-23,Compute Engine,1.83
2025-04-24,Compute Engine,2.4
2025-04-25,Compute Engine,2.34
2025-04-26,Compute Engine,2.54
2025-04-27,Compute Engine,1.84
2025-04-28,Compute Engine,2.07
2025-04-29,Compute Engine,2.51
2025-04-30,Compute Engine,2.87
2025-05-01,Compute Engine,2.73
2025-05-02,Compute Engine,2.31
2025-05-03,Compute Engine,2.04
2025-05-04,Compute Engine,2.47
2025-05-05,Compute Engine,1.75
2025-05-06,Compute Engine,1.89
2025-05-07,Compute Engine,3.0
2025-05-08,Compute Engine,2.47
2025-05-09,Compute Engine,2.11
2025-05-10,Compute Engine,2.68
2025-05-11,Compute Engine,2.9
2025-05-12,Compute Engine,2.07
2025-05-13,Compute Engine,2.08
2025-05-14,Compute Engine,2.02
2025-05-15,Compute Engine,2.75
2025-05-16,Compute Engine,2.76
2025-05-17,Compute Engine,2.96
2025-05-18,Compute Engine,2.78
2025-05-19,Compute Engine,1.51
2025-05-20,Compute Engine,2.43
2025-05-21,Compute Engine,1.79
2025-05-22,Compute Engine,2.05
2025-05-23,Compute Engine,2.38
2025-05-24,Compute Engine,2.7
2025-05-25,Compute Engine,1.88
2025-05-26,Compute Engine,1.19
2025-05-27,Compute Engine,2.39
2025-05-28,Compute Engine,3.58
2025-05-29,Compute Engine,2.21
2025-05-30,Compute Engine,2.33
2025-05-31,Compute Engine,3.17
2025-06-01,Compute Engine,2.6
2025-06-02,Compute Engine,2.42
2025-06-03,Compute Engine,2.53
2025-06-04,Compute Engine,2.44
2025-06-05,Compute Engine,1.77
2025-06-06,Compute Engine,1.68
2025-06-07,Compute Engine,3.23
2025-06-08,Compute Engine,2.41
2025-06-09,Compute Engine,2.37
2025-06-10,Compute Engine,2.28
2025-06-11,Compute Engine,2.7
2025-06-12,Compute Engine,3.55
2025-06-13,Compute Engine,2.58
2025-06-14,Compute Engine,2.05
2025-06-15,Compute Engine,2.27
2025-06-16,Compute Engine,2.85
2025-06-17,Compute Engine,2.06
2025-06-18,Compute Engine,2.75
2025-06-19,Compute Engine,1.23
2025-06-20,Compute Engine,2.23
2025-06-21,Compute Engine,2.65
2025-06-22,Compute Engine,2.96
2025-06-23,Compute Engine,1.95
2025-06-24,Compute Engine,1.63
2025-06-25,Compute Engine,2.22
2025-06-26,Compute Engine,1.81
2025-06-27,Compute Engine,2.28
2025-06-28,Compute Engine,2.35
2025-06-29,Compute Engine,1.72
2025-06-30,Compute Engine,2.74
2025-07-01,Compute Engine,2.28
2025-07-02,Compute Engine,2.88
2025-07-03,Compute Engine,1.48
2025-07-04,Compute Engine,1.87
2025-07-05,Compute Engine,2.61
2025-07-06,Compute Engine,1.98
2025-07-07,Compute Engine,2.29
2025-07-08,Compute Engine,2.37
2025-07-09,Compute Engine,2.45
2025-07-10,Compute Engine,2.05
2025-07-11,Compute Engine,2.44
2025-07-12,Compute Engine,2.0
2025-07-13,Compute Engine,2.7
2025-07-14,Compute Engine,2.32
2025-07-15,Compute Engine,2.45
2025-07-16,Compute Engine,3.61
2025-07-17,Compute Engine,1.85
2025-07-18,Compute Engine,3.05
2025-07-19,Compute Engine,1.11
2025-07-20,Compute Engine,1.39
2025-07-21,Compute Engine,1.79
2025-07-22,Compute Engine,1.82
2025-07-23,Compute Engine,2.49
2025-07-24,Compute Engine,2.53
2025-07-25,Compute Engine,2.27
2025-07-26,Compute Engine,2.32
2025-07-27,Compute Engine,2.65
2025-07-28,Compute Engine,2.8
2025-07-29,Compute Engine,1.76
2025-07-30,Compute Engine,2.23
2025-07-31,Compute Engine,2.37
2025-08-01,Compute Engine,2.64
2025-08-02,Compute Engine,2.03
2025-08-03,Compute Engine,2.36
2025-08-04,Compute Engine,2.42
2025-08-05,Compute Engine,2.07
2025-08-06,Compute Engine,2.06
2025-08-07,Compute Engine,2.46
2025-08-08,Compute Engine,2.35
2025-08-09,Compute Engine,2.65
2025-08-10,Compute Engine,1.91
2025-08-11,Compute Engine,2.25
2025-08-12,Compute Engine,2.31
2025-08-13,Compute Engine,2.81
2025-08-14,Compute Engine,1.97
2025-08-15,Compute Engine,2.54
2025-08-16,Compute Engine,2.55
2025-08-17,Compute Engine,3.22
2025-08-18,Compute Engine,1.94
2025-08-19,Compute Engine,2.11
2025-08-20,Compute Engine,1.98
2025-08-21,Compute Engine,1.63
2025-08-22,Compute Engine,3.28
2025-08-23,Compute Engine,1.84
2025-08-24,Compute Engine,2.04
2025-08-25,Compute Engine,3.07
2025-08-26,Compute Engine,1.6
2025-08-27,Compute Engine,2.8
2025-08-28,Compute Engine,1.76
2025-08-29,Compute Engine,3.04
2025-08-30,Compute Engine,1.4
2025-08-31,Compute Engine,1.6
2025-09-01,Compute Engine,2.19
2025-09-02,Compute Engine,2.92
2025-09-03,Compute Engine,2.44
2025-09-04,Compute Engine,2.29
2025-09-05,Compute Engine,3.1
2025-09-06,Compute Engine,3.49
2025-09-07,Compute Engine,2.78
2025-09-08,Compute Engine,2.16
2025-09-09,Compute Engine,2.26
2025-09-10,Compute Engine,1.84
2025-09-11,Compute Engine,2.51
2025-09-12,Compute Engine,1.68
2025-09-13,Compute Engine,2.73
2025-09-14,Compute Engine,3.43
2025-09-15,Compute Engine,2.81
2025-09-16,Compute Engine,2.24
2025-09-17,Compute Engine,2.72
2025-09-18,Compute Engine,3.25
2025-09-19,Compute Engine,3.23
2025-09-20,Compute Engine,1.99
2025-09-21,Compute Engine,2.72
2025-09-22,Compute Engine,2.4
2025-09-23,Compute Engine,2.87
2025-09-24,Compute Engine,2.67
2025-09-25,Compute Engine,1.34
2025-09-26,Compute Engine,2.32
2025-09-27,Compute Engine,2.58
2025-09-28,Compute Engine,1.8
2025-09-29,Compute Engine,2.77
2025-09-30,Compute Engine,1.76
2025-10-01,Compute Engine,2.11
2025-10-02,Compute Engine,3.14
2025-10-03,Compute Engine,2.07
2025-10-04,Compute Engine,2.77
2025-10-05,Compute Engine,1.65
2025-10-06,Compute Engine,3.5
2025-10-07,Compute Engine,2.35
2025-10-08,Compute Engine,2.55
2025-10-09,Compute Engine,2.59
2025-10-10,Compute Engine,2.8
2025-10-11,Compute Engine,1.78
2025-10-12,Compute Engine,2.5
2025-10-13,Compute Engine,2.19
2025-10-14,Compute Engine,1.7
2025-10-15,Compute Engine,2.99
2025-10-16,Compute Engine,2.34
2025-10-17,Compute Engine,2.63
2025-10-18,Compute Engine,2.6
2025-10-19,Compute Engine,2.36
2025-10-20,Compute Engine,3.47
2025-10-21,Compute Engine,2.5
2025-10-22,Compute Engine,1.77
2025-10-23,Compute Engine,2.33
2025-10-24,Compute Engine,2.76
2025-10-25,Compute Engine,2.78
2025-10-26,Compute Engine,2.0
2025-10-27,Compute Engine,2.97
2025-10-28,Compute Engine,1.68
2025-10-29,Compute Engine,3.08
2025-10-30,Compute Engine,1.9
2025-10-31,Compute Engine,2.43
2023-10-01,Cloud Storage,2.11
2023-10-02,Cloud Storage,2.34
2023-10-03,Cloud Storage,2.23
2023-10-04,Cloud Storage,2.07
2023-10-05,Cloud Storage,1.83
2023-10-06,Cloud Storage,1.12
2023-10-07,Cloud Storage,2.06
2023-10-08,Cloud Storage,1.96
2023-10-09,Cloud Storage,1.99
2023-10-10,Cloud Storage,1.29
2023-10-11,Cloud Storage,1.38
2023-10-12,Cloud Storage,2.34
2023-10-13,Cloud Storage,1.85
2023-10-14,Cloud Storage,2.18
