date,service,cost
10-01-2024,Virtual Machines,2.09
11-01-2024,Virtual Machines,2.08
12-01-2024,Virtual Machines,2.19
13-01-2024,Virtual Machines,2.19
14-01-2024,Virtual Machines,2.49
15-01-2024,Virtual Machines,2.72
16-01-2024,Virtual Machines,2.58
17-01-2024,Virtual Machines,2.26
18-01-2024,Virtual Machines,2.29
19-01-2024,Virtual Machines,2.16
20-01-2024,Virtual Machines,2.1
21-01-2024,Virtual Machines,2.48
22-01-2024,Virtual Machines,2.3
23-01-2024,Virtual Machines,2.56
24-01-2024,Virtual Machines,2.35
25-01-2024,Virtual Machines,2.59
26-01-2024,Virtual Machines,2.16
27-01-2024,Virtual Machines,2.36
28-01-2024,Virtual Machines,2.07
29-01-2024,Virtual Machines,2.27
30-01-2024,Virtual Machines,2.14
31-01-2024,Virtual Machines,2.25
01-02-2024,Virtual Machines,2.01
02-02-2024,Virtual Machines,2.12
03-02-2024,Virtual Machines,2.32
04-02-2024,Virtual Machines,2.38
05-02-2024,Virtual Machines,2.26
06-02-2024,Virtual Machines,2.01
07-02-2024,Virtual Machines,2.76
08-02-2024,Virtual Machines,2.46
09-02-2024,Virtual Machines,2.47
10-02-2024,Virtual Machines,2.31
11-02-2024,Virtual Machines,2.27
12-02-2024,Virtual Machines,2.24
13-02-2024,Virtual Machines,2.36
14-02-2024,Virtual Machines,2.16
15-02-2024,Virtual Machines,2.49
16-02-2024,Virtual Machines,2.52
17-02-2024,Virtual Machines,2.05
18-02-2024,Virtual Machines,2.37
19-02-2024,Virtual Machines,2.15
20-02-2024,Virtual Machines,2.37
21-02-2024,Virtual Machines,2.44
22-02-2024,Virtual Machines,1.92
23-02-2024,Virtual Machines,1.94
24-02-2024,Virtual Machines,2.38
25-02-2024,Virtual Machines,2.61
26-02-2024,Virtual Machines,2.34
27-02-2024,Virtual Machines,2.15
28-02-2024,Virtual Machines,2.2
29-02-2024,Virtual Machines,2.52
01-03-2024,Virtual Machines,2.33
02-03-2024,Virtual Machines,2.34
03-03-2024,Virtual Machines,2.62
04-03-2024,Virtual Machines,2.4
05-03-2024,Virtual Machines,2.25
06-03-2024,Virtual Machines,2.1
07-03-2024,Virtual Machines,2.64
08-03-2024,Virtual Machines,1.92
09-03-2024,Virtual Machines,2.26
10-03-2024,Virtual Machines,2.25
11-03-2024,Virtual Machines,2.29
12-03-2024,Virtual Machines,2.59
13-03-2024,Virtual Machines,2.46
14-03-2024,Virtual Machines,2.33
15-03-2024,Virtual Machines,2.04
16-03-2024,Virtual Machines,2.39
17-03-2024,Virtual Machines,2.15
18-03-2024,Virtual Machines,2.61
19-03-2024,Virtual Machines,2.31
20-03-2024,Virtual Machines,2.32
21-03-2024,Virtual Machines,2.26
22-03-2024,Virtual Machines,2.34
23-03-2024,Virtual Machines,2.28
24-03-2024,Virtual Machines,2.65
25-03-2024,Virtual Machines,2.34
26-03-2024,Virtual Machines,2.11
27-03-2024,Virtual Machines,2.36
28-03-2024,Virtual Machines,2.21
29-03-2024,Virtual Machines,2.14
30-03-2024,Virtual Machines,2.36
31-03-2024,Virtual Machines,2.53
01-04-2024,Virtual Machines,2.58
02-04-2024,Virtual Machines,1.79
03-04-2024,Virtual Machines,2.46
04-04-2024,Virtual Machines,2.24
05-04-2024,Virtual Machines,2.6
06-04-2024,Virtual Machines,2.06
07-04-2024,Virtual Machines,2.31
08-04-2024,Virtual Machines,2.5
09-04-2024,Virtual Machines,2.23
10-04-2024,Virtual Machines,2.26
11-04-2024,Virtual Machines,2.07
12-04-2024,Virtual Machines,2.31
13-04-2024,Virtual Machines,2.15
14-04-2024,Virtual Machines,1.93
15-04-2024,Virtual Machines,2.33
16-04-2024,Virtual Machines,2.29
17-04-2024,Virtual Machines,2.27
18-04-2024,Virtual Machines,2.32
19-04-2024,Virtual Machines,2.31
20-04-2024,Virtual Machines,2.34
21-04-2024,Virtual Machines,2.41
22-04-2024,Virtual Machines,2.39
23-04-2024,Virtual Machines,2.33
24-04-2024,Virtual Machines,2.18
25-04-2024,Virtual Machines,2.28
26-04-2024,Virtual Machines,2.44
27-04-2024,Virtual Machines,2.33
28-04-2024,Virtual Machines,2.56
29-04-2024,Virtual Machines,2.22
30-04-2024,Virtual Machines,2.22
01-05-2024,Virtual Machines,2.46
02-05-2024,Virtual Machines,2.68
03-05-2024,Virtual Machines,2.25
04-05-2024,Virtual Machines,2.08
05-05-2024,Virtual Machines,2.26
06-05-2024,Virtual Machines,2.36
07-05-2024,Virtual Machines,2.39
08-05-2024,Virtual Machines,2.34
09-05-2024,Virtual Machines,1.99
10-05-2024,Virtual Machines,2.21
11-05-2024,Virtual Machines,2.08
12-05-2024,Virtual Machines,2.29
13-05-2024,Virtual Machines,2.3
14-05-2024,Virtual Machines,2.19
15-05-2024,Virtual Machines,2.14
16-05-2024,Virtual Machines,2.06
17-05-2024,Virtual Machines,2.51
18-05-2024,Virtual Machines,2.45
19-05-2024,Virtual Machines,1.9
20-05-2024,Virtual Machines,2.41
21-05-2024,Virtual Machines,2.12
22-05-2024,Virtual Machines,2.53
23-05-2024,Virtual Machines,2.06
24-05-2024,Virtual Machines,2.42
25-05-2024,Virtual Machines,2.49
26-05-2024,Virtual Machines,2.33
27-05-2024,Virtual Machines,2.46
28-05-2024,Virtual Machines,2.28
29-05-2024,Virtual Machines,2.53
30-05-2024,Virtual Machines,2.3
31-05-2024,Virtual Machines,2.36
01-06-2024,Virtual Machines,2.34
02-06-2024,Virtual Machines,2.33
03-06-2024,Virtual Machines,2.29
04-06-2024,Virtual Machines,2.53
05-06-2024,Virtual Machines,2.82
06-06-2024,Virtual Machines,2.63
07-06-2024,Virtual Machines,2.43
08-06-2024,Virtual Machines,2.06
09-06-2024,Virtual Machines,2.1
10-06-2024,Virtual Machines,2.56
11-06-2024,Virtual Machines,2.1
12-06-2024,Virtual Machines,1.91
13-06-2024,Virtual Machines,2.38
14-06-2024,Virtual Machines,2.49
15-06-2024,Virtual Machines,2.37
16-06-2024,Virtual Machines,2.48
17-06-2024,Virtual Machines,2.32
18-06-2024,Virtual Machines,2.36
19-06-2024,Virtual Machines,2.52
20-06-2024,Virtual Machines,2.35
21-06-2024,Virtual Machines,2.01
22-06-2024,Virtual Machines,2.11
23-06-2024,Virtual Machines,2.41
24-06-2024,Virtual Machines,2.47
25-06-2024,Virtual Machines,2.4
26-06-2024,Virtual Machines,2.52
27-06-2024,Virtual Machines,2.25
28-06-2024,Virtual Machines,2.57
29-06-2024,Virtual Machines,2.13
30-06-2024,Virtual Machines,2.04
01-07-2024,Virtual Machines,2.23
02-07-2024,Virtual Machines,2.63
03-07-2024,Virtual Machines,2.31
04-07-2024,Virtual Machines,2.5
05-07-2024,Virtual Machines,2.09
06-07-2024,Virtual Machines,2.53
07-07-2024,Virtual Machines,2.24
08-07-2024,Virtual Machines,2.15
09-07-2024,Virtual Machines,2.52
10-07-2024,Virtual Machines,2.3
11-07-2024,Virtual Machines,2.48
12-07-2024,Virtual Machines,2.54
13-07-2024,Virtual Machines,2.35
14-07-2024,Virtual Machines,2.47
15-07-2024,Virtual Machines,2.27
16-07-2024,Virtual Machines,2.31
17-07-2024,Virtual Machines,2.21
18-07-2024,Virtual Machines,2.28
19-07-2024,Virtual Machines,2.41
20-07-2024,Virtual Machines,2.21
21-07-2024,Virtual Machines,2.56
22-07-2024,Virtual Machines,1.98
23-07-2024,Virtual Machines,2.49
24-07-2024,Virtual Machines,2.17
25-07-2024,Virtual Machines,2.23
26-07-2024,Virtual Machines,2.19
27-07-2024,Virtual Machines,2.46
28-07-2024,Virtual Machines,2.7
29-07-2024,Virtual Machines,2.48
30-07-2024,Virtual Machines,1.98
31-07-2024,Virtual Machines,2.49
01-08-2024,Virtual Machines,2.43
02-08-2024,Virtual Machines,2.09
03-08-2024,Virtual Machines,2.47
04-08-2024,Virtual Machines,2.54
05-08-2024,Virtual Machines,2.52
06-08-2024,Virtual Machines,2.49
07-08-2024,Virtual Machines,2.28
08-08-2024,Virtual Machines,2.68
09-08-2024,Virtual Machines,2.34
10-08-2024,Virtual Machines,2.23
11-08-2024,Virtual Machines,2.15
12-08-2024,Virtual Machines,2.41
13-08-2024,Virtual Machines,2.46
14-08-2024,Virtual Machines,2.53
15-08-2024,Virtual Machines,2.59
16-08-2024,Virtual Machines,2.36
17-08-2024,Virtual Machines,2.1
18-08-2024,Virtual Machines,2.5
19-08-2024,Virtual Machines,2.59
20-08-2024,Virtual Machines,2.48
21-08-2024,Virtual Machines,2.35
22-08-2024,Virtual Machines,2.03
23-08-2024,Virtual Machines,2.37
24-08-2024,Virtual Machines,2.15
25-08-2024,Virtual Machines,2.27
26-08-2024,Virtual Machines,2.11
27-08-2024,Virtual Machines,2.31
28-08-2024,Virtual Machines,2.36
29-08-2024,Virtual Machines,2.63
30-08-2024,Virtual Machines,2.45
31-08-2024,Virtual Machines,2.36
01-09-2024,Virtual Machines,2.51
02-09-2024,Virtual Machines,2.34
03-09-2024,Virtual Machines,1.83
04-09-2024,Virtual Machines,2.23
05-09-2024,Virtual Machines,2.47
06-09-2024,Virtual Machines,2.36
07-09-2024,Virtual Machines,2.09
08-09-2024,Virtual Machines,2.67
09-09-2024,Virtual Machines,2.14
10-09-2024,Virtual Machines,2.49
11-09-2024,Virtual Machines,2.31
12-09-2024,Virtual Machines,2.19
13-09-2024,Virtual Machines,2.4
14-09-2024,Virtual Machines,2.62
15-09-2024,Virtual Machines,2.44
16-09-2024,Virtual Machines,2.38
17-09-2024,Virtual Machines,2.29
18-09-2024,Virtual Machines,2.6
19-09-2024,Virtual Machines,2.75
20-09-2024,Virtual Machines,2.2
21-09-2024,Virtual Machines,2.1
22-09-2024,Virtual Machines,2.28
23-09-2024,Virtual Machines,2.36
24-09-2024,Virtual Machines,2.33
25-09-2024,Virtual Machines,2.27
26-09-2024,Virtual Machines,2.1
27-09-2024,Virtual Machines,2.45
28-09-2024,Virtual Machines,2.24
29-09-2024,Virtual Machines,2
30-09-2024,Virtual Machines,2.09
01-10-2024,Virtual Machines,2.59
02-10-2024,Virtual Machines,2.34
03-10-2024,Virtual Machines,2.44
04-10-2024,Virtual Machines,2.05
05-10-2024,Virtual Machines,2.34
06-10-2024,Virtual Machines,2.64
07-10-2024,Virtual Machines,2.5
08-10-2024,Virtual Machines,2.44
09-10-2024,Virtual Machines,2.4
10-10-2024,Virtual Machines,2.57
11-10-2024,Virtual Machines,2.56
12-10-2024,Virtual Machines,1.97
13-10-2024,Virtual Machines,2.49
14-10-2024,Virtual Machines,2.59
15-10-2024,Virtual Machines,2.56
16-10-2024,Virtual Machines,2.27
17-10-2024,Virtual Machines,2.39
18-10-2024,Virtual Machines,2.38
19-10-2024,Virtual Machines,2.14
20-10-2024,Virtual Machines,2.53
21-10-2024,Virtual Machines,2.22
22-10-2024,Virtual Machines,2.68
23-10-2024,Virtual Machines,2.44
24-10-2024,Virtual Machines,2.34
25-10-2024,Virtual Machines,2.37
26-10-2024,Virtual Machines,2.39
27-10-2024,Virtual Machines,2.68
28-10-2024,Virtual Machines,2.58
29-10-2024,Virtual Machines,2.35
30-10-2024,Virtual Machines,2.45
31-10-2024,Virtual Machines,2.33
01-11-2024,Virtual Machines,2.06
02-11-2024,Virtual Machines,2.59
03-11-2024,Virtual Machines,2.3
04-11-2024,Virtual Machines,2.48
05-11-2024,Virtual Machines,2.23
06-11-2024,Virtual Machines,2.39
07-11-2024,Virtual Machines,2.58
08-11-2024,Virtual Machines,2.26
09-11-2024,Virtual Machines,2.56
10-11-2024,Virtual Machines,2.63
11-11-2024,Virtual Machines,2.36
12-11-2024,Virtual Machines,1.87
13-11-2024,Virtual Machines,2.4
14-11-2024,Virtual Machines,2.53
15-11-2024,Virtual Machines,2.38
16-11-2024,Virtual Machines,2.71
17-11-2024,Virtual Machines,2.44
18-11-2024,Virtual Machines,2.22
19-11-2024,Virtual Machines,2.17
20-11-2024,Virtual Machines,2.17
21-11-2024,Virtual Machines,2.84
22-11-2024,Virtual Machines,2.4
23-11-2024,Virtual Machines,2.56
24-11-2024,Virtual Machines,2.9
25-11-2024,Virtual Machines,2.34
26-11-2024,Virtual Machines,2.4
27-11-2024,Virtual Machines,2.38
28-11-2024,Virtual Machines,2.26
29-11-2024,Virtual Machines,2.34
30-11-2024,Virtual Machines,2.62
01-12-2024,Virtual Machines,2.29
02-12-2024,Virtual Machines,2.33
03-12-2024,Virtual Machines,2.44
04-12-2024,Virtual Machines,2.44
05-12-2024,Virtual Machines,2.47
06-12-2024,Virtual Machines,2.47
07-12-2024,Virtual Machines,2.34
08-12-2024,Virtual Machines,2.24
09-12-2024,Virtual Machines,2.37
10-12-2024,Virtual Machines,2.77
11-12-2024,Virtual Machines,2.53
12-12-2024,Virtual Machines,2.2
13-12-2024,Virtual Machines,2.6
14-12-2024,Virtual Machines,2.96
15-12-2024,Virtual Machines,2.78
16-12-2024,Virtual Machines,2.26
17-12-2024,Virtual Machines,2.71
18-12-2024,Virtual Machines,2.54
19-12-2024,Virtual Machines,2.68
20-12-2024,Virtual Machines,2.45
21-12-2024,Virtual Machines,2.33
22-12-2024,Virtual Machines,2.48
23-12-2024,Virtual Machines,2.66
24-12-2024,Virtual Machines,2.45
25-12-2024,Virtual Machines,2.18
26-12-2024,Virtual Machines,2.36
27-12-2024,Virtual Machines,2.5
28-12-2024,Virtual Machines,2.36
29-12-2024,Virtual Machines,2.52
30-12-2024,Virtual Machines,1.99
31-12-2024,Virtual Machines,2.58
01-01-2025,Virtual Machines,2.59
02-01-2025,Virtual Machines,2.19
03-01-2025,Virtual Machines,2.66
04-01-2025,Virtual Machines,2.46
05-01-2025,Virtual Machines,2.34
06-01-2025,Virtual Machines,2.45
07-01-2025,Virtual Machines,2.52
08-01-2025,Virtual Machines,2.36
09-01-2025,Virtual Machines,1.87
10-01-2025,Virtual Machines,2.37
11-01-2025,Virtual Machines,2.22
12-01-2025,Virtual Machines,2.26
13-01-2025,Virtual Machines,2.44
14-01-2025,Virtual Machines,2.55
15-01-2025,Virtual Machines,2.52
16-01-2025,Virtual Machines,2.62
17-01-2025,Virtual Machines,2.46
18-01-2025,Virtual Machines,2.48
19-01-2025,Virtual Machines,2.58
20-01-2025,Virtual Machines,2.62
21-01-2025,Virtual Machines,2.76
22-01-2025,Virtual Machines,2.6
23-01-2025,Virtual Machines,2.75
24-01-2025,Virtual Machines,2.47
25-01-2025,Virtual Machines,2.41
26-01-2025,Virtual Machines,2.14
27-01-2025,Virtual Machines,2.06
28-01-2025,Virtual Machines,2.19
29-01-2025,Virtual Machines,2.47
30-01-2025,Virtual Machines,2.25
31-01-2025,Virtual Machines,2.85
01-02-2025,Virtual Machines,2.33
02-02-2025,Virtual Machines,2.37
03-02-2025,Virtual Machines,2.47
04-02-2025,Virtual Machines,2.44
05-02-2025,Virtual Machines,2.67
06-02-2025,Virtual Machines,2.31
07-02-2025,Virtual Machines,2.9
08-02-2025,Virtual Machines,2.35
09-02-2025,Virtual Machines,2.2
10-02-2025,Virtual Machines,2.52
11-02-2025,Virtual Machines,2.32
12-02-2025,Virtual Machines,2.44
13-02-2025,Virtual Machines,2.19
14-02-2025,Virtual Machines,2.37
15-02-2025,Virtual Machines,2.3
16-02-2025,Virtual Machines,2.52
17-02-2025,Virtual Machines,2.79
18-02-2025,Virtual Machines,2.79
19-02-2025,Virtual Machines,2.24
20-02-2025,Virtual Machines,2.2
21-02-2025,Virtual Machines,2.7
22-02-2025,Virtual Machines,2.44
23-02-2025,Virtual Machines,2.21
24-02-2025,Virtual Machines,2.31
25-02-2025,Virtual Machines,2.21
26-02-2025,Virtual Machines,2.46
27-02-2025,Virtual Machines,2.59
28-02-2025,Virtual Machines,2.25
01-03-2025,Virtual Machines,2.72
02-03-2025,Virtual Machines,2.45
03-03-2025,Virtual Machines,2.48
04-03-2025,Virtual Machines,2.61
05-03-2025,Virtual Machines,2.35
06-03-2025,Virtual Machines,2.45
07-03-2025,Virtual Machines,2.68
08-03-2025,Virtual Machines,2.2
09-03-2025,Virtual Machines,2.31
10-03-2025,Virtual Machines,2.39
11-03-2025,Virtual Machines,2.37
12-03-2025,Virtual Machines,2.72
13-03-2025,Virtual Machines,2.62
14-03-2025,Virtual Machines,2.39
15-03-2025,Virtual Machines,2.56
16-03-2025,Virtual Machines,2.81
17-03-2025,Virtual Machines,2.82
18-03-2025,Virtual Machines,2.49
19-03-2025,Virtual Machines,2.52
20-03-2025,Virtual Machines,2.6
21-03-2025,Virtual Machines,3
22-03-2025,Virtual Machines,2.41
23-03-2025,Virtual Machines,2.53
24-03-2025,Virtual Machines,2.07
25-03-2025,Virtual Machines,2.48
26-03-2025,Virtual Machines,2.72
27-03-2025,Virtual Machines,2.38
28-03-2025,Virtual Machines,2.75
29-03-2025,Virtual Machines,2.37
30-03-2025,Virtual Machines,2.72
31-03-2025,Virtual Machines,2.44
01-04-2025,Virtual Machines,2.48
02-04-2025,Virtual Machines,2.32
03-04-2025,Virtual Machines,2.15
04-04-2025,Virtual Machines,2.44
05-04-2025,Virtual Machines,2.31
06-04-2025,Virtual Machines,2.46
07-04-2025,Virtual Machines,2.35
08-04-2025,Virtual Machines,2.32
09-04-2025,Virtual Machines,2.07
10-04-2025,Virtual Machines,2.45
11-04-2025,Virtual Machines,2.46
12-04-2025,Virtual Machines,2.8
13-04-2025,Virtual Machines,2.6
14-04-2025,Virtual Machines,2.23
15-04-2025,Virtual Machines,2.7
16-04-2025,Virtual Machines,2.3
17-04-2025,Virtual Machines,2.51
18-04-2025,Virtual Machines,2.46
19-04-2025,Virtual Machines,2.49
20-04-2025,Virtual Machines,2.54
21-04-2025,Virtual Machines,2.58
22-04-2025,Virtual Machines,2.23
23-04-2025,Virtual Machines,2.8
24-04-2025,Virtual Machines,2.72
25-04-2025,Virtual Machines,2.4
26-04-2025,Virtual Machines,2.52
27-04-2025,Virtual Machines,2.3
28-04-2025,Virtual Machines,2.62
29-04-2025,Virtual Machines,2.51
30-04-2025,Virtual Machines,2.41
01-05-2025,Virtual Machines,2.56
02-05-2025,Virtual Machines,2.56
03-05-2025,Virtual Machines,2.56
04-05-2025,Virtual Machines,2.36
05-05-2025,Virtual Machines,2.3
06-05-2025,Virtual Machines,2.71
07-05-2025,Virtual Machines,2.51
08-05-2025,Virtual Machines,2.35
09-05-2025,Virtual Machines,2.29
10-05-2025,Virtual Machines,2.67
11-05-2025,Virtual Machines,2.66
12-05-2025,Virtual Machines,2.12
13-05-2025,Virtual Machines,2.57
14-05-2025,Virtual Machines,2.6
15-05-2025,Virtual Machines,2.37
16-05-2025,Virtual Machines,2.35
17-05-2025,Virtual Machines,2.82
18-05-2025,Virtual Machines,2.54
19-05-2025,Virtual Machines,2.51
20-05-2025,Virtual Machines,2.99
21-05-2025,Virtual Machines,2.8
22-05-2025,Virtual Machines,2.62
23-05-2025,Virtual Machines,2.7
24-05-2025,Virtual Machines,2.53
25-05-2025,Virtual Machines,2.35
26-05-2025,Virtual Machines,2.67
27-05-2025,Virtual Machines,2.21
28-05-2025,Virtual Machines,2.36
29-05-2025,Virtual Machines,2.25
30-05-2025,Virtual Machines,2.74
31-05-2025,Virtual Machines,2.42
01-06-2025,Virtual Machines,2.57
02-06-2025,Virtual Machines,2.6
03-06-2025,Virtual Machines,2.8
04-06-2025,Virtual Machines,2.47
05-06-2025,Virtual Machines,2.76
06-06-2025,Virtual Machines,2.7
07-06-2025,Virtual Machines,2.93
08-06-2025,Virtual Machines,2.26
09-06-2025,Virtual Machines,2.55
10-06-2025,Virtual Machines,2.51
11-06-2025,Virtual Machines,2.52
12-06-2025,Virtual Machines,2.63
13-06-2025,Virtual Machines,2.56
14-06-2025,Virtual Machines,2.38
15-06-2025,Virtual Machines,2.38
16-06-2025,Virtual Machines,2.57
17-06-2025,Virtual Machines,2.58
18-06-2025,Virtual Machines,2.26
19-06-2025,Virtual Machines,2.36
20-06-2025,Virtual Machines,2.32
21-06-2025,Virtual Machines,2.53
22-06-2025,Virtual Machines,2.49
23-06-2025,Virtual Machines,2.44
24-06-2025,Virtual Machines,2.47
25-06-2025,Virtual Machines,2.58
26-06-2025,Virtual Machines,2.22
27-06-2025,Virtual Machines,2.43
28-06-2025,Virtual Machines,2.65
29-06-2025,Virtual Machines,2.32
30-06-2025,Virtual Machines,2.12
01-07-2025,Virtual Machines,2.49
02-07-2025,Virtual Machines,2.55
03-07-2025,Virtual Machines,2.34
04-07-2025,Virtual Machines,2.3
05-07-2025,Virtual Machines,2.21
06-07-2025,Virtual Machines,2.34
07-07-2025,Virtual Machines,2.22
08-07-2025,Virtual Machines,2.47
09-07-2025,Virtual Machines,2.54
10-07-2025,Virtual Machines,2.19
11-07-2025,Virtual Machines,2.6
12-07-2025,Virtual Machines,2.75
13-07-2025,Virtual Machines,2.76
14-07-2025,Virtual Machines,2.26
15-07-2025,Virtual Machines,2.47
16-07-2025,Virtual Machines,2.23
17-07-2025,Virtual Machines,2.52
18-07-2025,Virtual Machines,2.71
19-07-2025,Virtual Machines,2.43
20-07-2025,Virtual Machines,2.4
21-07-2025,Virtual Machines,2.49
22-07-2025,Virtual Machines,2.61
23-07-2025,Virtual Machines,2.47
24-07-2025,Virtual Machines,2.42
25-07-2025,Virtual Machines,2.59
26-07-2025,Virtual Machines,2.42
27-07-2025,Virtual Machines,2.86
28-07-2025,Virtual Machines,2.49
29-07-2025,Virtual Machines,2.65
30-07-2025,Virtual Machines,2.54
31-07-2025,Virtual Machines,2.68
01-08-2025,Virtual Machines,2.8
02-08-2025,Virtual Machines,2.27
03-08-2025,Virtual Machines,2.38
04-08-2025,Virtual Machines,2.39
05-08-2025,Virtual Machines,2.87
06-08-2025,Virtual Machines,2.53
07-08-2025,Virtual Machines,3.04
08-08-2025,Virtual Machines,2.4
09-08-2025,Virtual Machines,2.61
10-08-2025,Virtual Machines,2.56
11-08-2025,Virtual Machines,2.31
12-08-2025,Virtual Machines,2.7
13-08-2025,Virtual Machines,2.1
14-08-2025,Virtual Machines,2.36
15-08-2025,Virtual Machines,2.66
16-08-2025,Virtual Machines,2.67
17-08-2025,Virtual Machines,3.04
18-08-2025,Virtual Machines,2.69
19-08-2025,Virtual Machines,2.89
20-08-2025,Virtual Machines,2.33
21-08-2025,Virtual Machines,2.63
22-08-2025,Virtual Machines,2.71
23-08-2025,Virtual Machines,2.78
24-08-2025,Virtual Machines,2.81
25-08-2025,Virtual Machines,2.39
26-08-2025,Virtual Machines,2.6
27-08-2025,Virtual Machines,2.44
28-08-2025,Virtual Machines,3.05
29-08-2025,Virtual Machines,2.82
30-08-2025,Virtual Machines,2.25
31-08-2025,Virtual Machines,2.31
01-09-2025,Virtual Machines,2.34
02-09-2025,Virtual Machines,2.72
03-09-2025,Virtual Machines,2.72
04-09-2025,Virtual Machines,2.45
05-09-2025,Virtual Machines,2.62
06-09-2025,Virtual Machines,3.12
07-09-2025,Virtual Machines,2.71
08-09-2025,Virtual Machines,2.64
09-09-2025,Virtual Machines,2.61
10-09-2025,Virtual Machines,2.35
11-09-2025,Virtual Machines,2.17
12-09-2025,Virtual Machines,2.73
13-09-2025,Virtual Machines,2.81
14-09-2025,Virtual Machines,2.16
15-09-2025,Virtual Machines,2.71
16-09-2025,Virtual Machines,2.46
17-09-2025,Virtual Machines,2.46
18-09-2025,Virtual Machines,2.49
19-09-2025,Virtual Machines,2.78
20-09-2025,Virtual Machines,2.42
21-09-2025,Virtual Machines,2.39
22-09-2025,Virtual Machines,2.63
23-09-2025,Virtual Machines,2.45
24-09-2025,Virtual Machines,2.6
25-09-2025,Virtual Machines,2.67
26-09-2025,Virtual Machines,2.48
27-09-2025,Virtual Machines,2.68
28-09-2025,Virtual Machines,2.81
29-09-2025,Virtual Machines,2.78
30-09-2025,Virtual Machines,2.78
01-10-2025,Virtual Machines,2.54
02-10-2025,Virtual Machines,2.7
03-10-2025,Virtual Machines,2.63
04-10-2025,Virtual Machines,2.6
05-10-2025,Virtual Machines,2.9
